iter	Passed	Remaining
0	1	1220
1	2	1019
2	2	900
3	3	854
4	4	828
5	4	814
6	5	803
7	6	814
8	7	814
9	8	797
10	8	796
11	9	795
12	10	792
13	11	828
14	12	826
15	13	816
16	14	809
17	14	802
18	15	796
19	16	790
20	17	793
21	17	791
22	18	787
23	19	784
24	20	783
25	20	781
26	21	775
27	22	777
28	23	781
29	24	778
30	24	776
31	25	776
32	26	772
33	27	770
34	28	773
35	28	772
36	29	770
37	30	767
38	31	765
39	31	763
40	32	762
41	33	767
42	34	766
43	35	765
44	35	763
45	36	761
46	37	759
47	38	757
48	39	762
49	40	761
50	40	759
51	41	757
52	42	757
53	43	755
54	43	755
55	44	755
56	45	753
57	46	750
58	47	750
59	47	749
60	48	747
61	49	748
62	50	747
63	50	745
64	51	743
65	52	743
66	53	743
67	54	743
68	55	744
69	55	743
70	56	742
71	57	740
72	58	739
73	58	738
74	59	736
75	60	737
76	61	735
77	62	735
78	62	734
79	63	734
80	64	732
81	65	731
82	65	727
83	66	725
84	67	724
85	68	724
86	69	730
87	70	730
88	71	730
89	72	730
90	73	730
91	73	729
92	74	728
93	75	727
94	76	726
95	77	725
96	77	725
97	78	723
98	79	722
99	80	721
100	80	719
101	81	718
102	82	717
103	83	716
104	84	716
105	84	716
106	85	715
107	86	714
108	87	714
109	88	713
110	89	713
111	89	712
112	90	712
113	91	711
114	92	711
115	93	710
116	93	708
117	94	708
118	95	707
119	96	706
120	97	705
121	97	705
122	98	705
123	99	704
124	100	704
125	101	704
126	102	701
127	102	700
128	103	699
129	104	698
130	105	699
131	106	698
132	107	697
133	107	696
134	108	695
135	109	694
136	110	694
137	110	692
138	111	691
139	112	690
140	113	689
141	113	687
142	114	687
143	115	686
144	116	685
145	117	684
146	117	683
147	118	682
148	119	682
149	120	680
150	120	679
151	121	678
152	122	677
153	123	677
154	123	675
155	124	674
156	125	673
157	126	673
158	127	672
159	127	671
160	128	669
161	129	668
162	129	667
163	130	665
164	131	665
165	132	663
166	132	662
167	133	661
168	134	660
169	135	659
170	135	658
171	136	658
172	137	658
173	138	657
174	139	656
175	140	655
176	140	654
177	141	653
178	142	652
179	143	651
180	143	650
181	144	649
182	145	648
183	145	647
184	146	646
185	147	644
186	148	644
187	148	643
188	149	642
189	150	640
190	151	639
191	151	638
192	152	637
193	153	636
194	153	635
195	154	634
196	155	633
197	156	632
198	156	631
199	157	630
200	158	629
201	159	628
202	159	627
203	160	626
204	161	625
205	162	624
206	162	623
207	163	622
208	164	621
209	165	620
210	165	619
211	166	619
212	167	618
213	168	617
214	168	616
215	169	615
216	170	614
217	171	613
218	171	612
219	172	611
220	173	610
221	174	609
222	174	609
223	175	608
224	176	607
225	177	606
226	177	606
227	178	605
228	179	604
229	180	603
230	181	602
231	181	601
232	182	601
233	183	600
234	184	599
235	184	598
236	185	597
237	186	596
238	187	596
239	188	595
240	188	594
241	189	593
242	190	592
243	191	591
244	191	591
245	192	590
246	193	589
247	193	588
248	194	587
249	195	586
250	196	585
251	196	584
252	197	583
253	198	582
254	199	581
255	199	581
256	201	581
257	201	580
258	202	579
259	203	579
260	204	579
261	205	578
262	206	577
263	206	576
264	207	575
265	208	574
266	208	573
267	209	572
268	210	571
269	211	570
270	211	569
271	212	568
272	213	567
273	213	566
274	214	565
275	215	565
276	216	564
277	216	563
278	217	562
279	218	561
280	218	560
281	219	559
282	220	558
283	221	557
284	221	556
285	222	555
286	223	554
287	223	553
288	224	552
289	225	551
290	226	550
291	226	549
292	227	549
293	228	548
294	229	547
295	229	546
296	230	545
297	231	545
298	232	544
299	233	543
300	233	542
301	234	542
302	235	541
303	236	540
304	236	539
305	237	538
306	238	537
307	238	536
308	239	535
309	240	535
310	241	534
311	242	533
312	242	532
313	243	531
314	244	531
315	244	529
316	245	528
317	246	527
318	246	527
319	247	526
320	248	525
321	248	524
322	249	523
323	250	522
324	250	521
325	251	520
326	252	519
327	253	518
328	253	517
329	254	516
330	255	515
331	255	515
332	256	514
333	257	513
334	258	512
335	258	511
336	259	510
337	260	509
338	260	508
339	261	507
340	262	506
341	262	505
342	263	505
343	264	504
344	265	503
345	265	502
346	266	501
347	266	500
348	267	499
349	268	498
350	269	497
351	270	497
352	270	496
353	271	495
354	272	494
355	272	493
356	273	492
357	274	491
358	274	490
359	275	490
360	276	489
361	277	488
362	277	487
363	278	486
364	279	485
365	279	484
366	280	483
367	281	483
368	281	482
369	282	481
370	283	480
371	284	479
372	284	478
373	285	477
374	286	477
375	286	476
376	287	475
377	288	474
378	288	473
379	289	472
380	290	471
381	291	471
382	291	470
383	292	469
384	293	468
385	293	467
386	294	466
387	295	465
388	296	464
389	296	464
390	297	463
391	298	462
392	298	461
393	299	460
394	300	460
395	301	459
396	301	458
397	302	457
398	303	457
399	304	456
400	304	455
401	305	454
402	306	453
403	307	453
404	308	452
405	308	451
406	309	450
407	310	449
408	310	449
409	311	448
410	312	447
411	312	446
412	313	445
413	314	445
414	315	444
415	315	443
416	316	442
417	317	441
418	317	440
419	318	439
420	319	439
421	320	438
422	320	437
423	321	436
424	321	435
425	322	434
426	323	433
427	324	433
428	324	432
429	325	431
430	326	430
431	326	429
432	327	429
433	328	428
434	329	427
435	330	426
436	330	426
437	331	425
438	332	424
439	332	423
440	333	422
441	334	421
442	334	421
443	335	420
444	336	419
445	336	418
446	337	417
447	338	416
448	339	416
449	339	415
450	340	414
451	341	413
452	342	412
453	342	412
454	343	411
455	344	410
456	345	410
457	345	409
458	346	408
459	347	407
460	348	407
461	349	406
462	349	405
463	350	404
464	351	404
465	352	403
466	352	402
467	353	402
468	354	401
469	354	400
470	355	399
471	356	398
472	357	397
473	357	397
474	358	396
475	359	395
476	359	394
477	360	393
478	361	392
479	361	392
480	362	391
481	363	390
482	364	389
483	364	388
484	365	388
485	366	387
486	366	386
487	367	385
488	368	385
489	369	384
490	369	383
491	370	382
492	371	381
493	371	380
494	372	379
495	373	379
496	373	378
497	374	377
498	375	376
499	375	375
500	376	374
501	377	374
502	377	373
503	378	372
504	379	371
505	380	371
506	380	370
507	381	369
508	382	368
509	382	367
510	383	366
511	384	366
512	384	365
513	385	364
514	386	363
515	386	362
516	387	362
517	388	361
518	388	360
519	389	359
520	390	358
521	391	358
522	391	357
523	392	356
524	393	355
525	393	354
526	394	354
527	395	353
528	395	352
529	396	351
530	397	350
531	397	350
532	398	349
533	399	348
534	400	347
535	400	346
536	401	346
537	402	345
538	403	344
539	403	344
540	404	343
541	405	342
542	405	341
543	406	340
544	407	340
545	408	339
546	408	338
547	409	337
548	410	337
549	411	336
550	411	335
551	412	334
552	413	334
553	414	333
554	414	332
555	415	331
556	416	331
557	417	330
558	417	329
559	418	328
560	419	328
561	419	327
562	420	326
563	421	325
564	422	324
565	422	324
566	423	323
567	424	322
568	424	321
569	425	321
570	426	320
571	427	319
572	427	318
573	428	318
574	429	317
575	429	316
576	430	315
577	431	314
578	431	314
579	432	313
580	433	312
581	434	311
582	435	311
583	435	310
584	436	309
585	437	308
586	437	307
587	438	307
588	439	306
589	439	305
590	440	304
591	441	304
592	441	303
593	442	302
594	443	301
595	443	300
596	444	300
597	445	299
598	446	298
599	446	297
600	447	297
601	448	296
602	448	295
603	449	294
604	450	294
605	451	293
606	452	292
607	452	292
608	453	291
609	454	290
610	455	289
611	456	289
612	457	288
613	457	287
614	458	287
615	459	286
616	460	285
617	461	285
618	461	284
619	462	283
620	463	282
621	464	282
622	464	281
623	465	280
624	466	279
625	467	279
626	467	278
627	468	277
628	469	276
629	470	276
630	470	275
631	471	274
632	472	273
633	473	273
634	473	272
635	474	271
636	475	270
637	476	270
638	476	269
639	477	268
640	478	268
641	479	267
642	479	266
643	480	265
644	481	265
645	482	264
646	482	263
647	483	262
648	484	262
649	485	261
650	485	260
651	486	259
652	487	258
653	488	258
654	488	257
655	489	256
656	490	256
657	491	255
658	491	254
659	492	253
660	493	253
661	494	252
662	494	251
663	495	250
664	496	250
665	497	249
666	497	248
667	498	247
668	499	247
669	500	246
670	500	245
671	501	244
672	502	244
673	503	243
674	503	242
675	504	241
676	505	241
677	506	240
678	507	239
679	507	238
680	508	238
681	509	237
682	509	236
683	510	235
684	511	235
685	512	234
686	513	233
687	513	232
688	514	232
689	515	231
690	516	230
691	516	230
692	517	229
693	518	228
694	519	227
695	519	227
696	520	226
697	521	225
698	522	224
699	523	224
700	523	223
701	524	222
702	525	221
703	526	221
704	526	220
705	527	219
706	528	218
707	528	218
708	529	217
709	530	216
710	531	215
711	531	215
712	532	214
713	533	213
714	533	212
715	534	212
716	535	211
717	535	210
718	536	209
719	537	208
720	538	208
721	538	207
722	539	206
723	540	205
724	540	205
725	541	204
726	542	203
727	543	202
728	543	202
729	544	201
730	545	200
731	546	199
732	546	199
733	547	198
734	548	197
735	549	196
736	549	196
737	550	195
738	551	194
739	552	194
740	553	193
741	553	192
742	554	191
743	555	191
744	555	190
745	556	189
746	557	188
747	558	188
748	558	187
749	559	186
750	560	185
751	561	185
752	561	184
753	562	183
754	563	182
755	564	182
756	564	181
757	565	180
758	566	179
759	567	179
760	567	178
761	568	177
762	569	176
763	570	176
764	570	175
765	571	174
766	572	173
767	573	173
768	573	172
769	574	171
770	575	170
771	576	170
772	576	169
773	577	168
774	578	167
775	579	167
776	579	166
777	580	165
778	581	164
779	581	164
780	582	163
781	583	162
782	584	161
783	584	161
784	585	160
785	586	159
786	586	158
787	587	158
788	588	157
789	589	156
790	590	155
791	590	155
792	591	154
793	591	153
794	592	152
795	593	152
796	594	151
797	595	150
798	596	149
799	596	149
800	597	148
801	598	147
802	599	146
803	599	146
804	600	145
805	601	144
806	602	143
807	602	143
808	603	142
809	604	141
810	605	141
811	606	140
812	607	139
813	608	138
814	608	138
815	609	137
816	610	136
817	611	135
818	611	135
819	612	134
820	613	133
821	614	132
822	614	132
823	615	131
824	616	130
825	617	130
826	618	129
827	618	128
828	619	127
829	620	127
830	621	126
831	622	125
832	622	124
833	623	124
834	624	123
835	624	122
836	625	121
837	626	121
838	627	120
839	627	119
840	628	118
841	629	118
842	629	117
843	630	116
844	631	115
845	631	115
846	632	114
847	633	113
848	634	112
849	634	112
850	635	111
851	636	110
852	637	109
853	637	109
854	638	108
855	639	107
856	640	106
857	640	106
